s,d,grn,exp
0,0,0,0.010155001655220985
1,0,1,0.08126790076494217
1,1,0,0.010176250711083412
1,2,1,0.011405008845031261
1,3,1,0.0739121064543724
1,4,1,0.012189891189336777
1,5,1,0.011075932532548904
1,6,1,0.06302770227193832
1,7,1,0.07062266021966934
1,8,1,0.012069867923855782
1,9,1,0.0768347904086113
1,10,1,0.07505626976490021
1,11,1,0.08200522512197495
1,12,1,0.010951846837997437
1,13,1,0.07830630987882614
1,15,1,0.07686443626880646
1,16,1,0.03915978595614433
1,18,1,0.011069347150623798
1,19,1,0.07699602842330933
1,20,1,0.06976229697465897
1,21,1,0.015623155981302261
1,22,1,0.07588430494070053
1,23,1,0.011488321237266064
1,24,1,0.0159719567745924
1,25,1,0.02427970990538597
1,26,1,0.016191570088267326
1,27,1,0.07582205533981323
1,28,1,0.011472141370177269
1,29,1,0.013545737601816654
1,30,1,0.012484878301620483
1,31,1,0.011208017356693745
1,32,1,0.07829578965902328
1,33,1,0.03496198356151581
1,34,1,0.0794837698340416
1,35,1,0.076131671667099
1,36,1,0.07684435695409775
1,37,1,0.07496137171983719
1,38,1,0.07684089243412018
1,39,1,0.01070233341306448
1,40,1,0.09834159910678864
1,41,1,0.07701893895864487
1,42,1,0.048611629754304886
1,43,1,0.010360600426793098
1,45,1,0.01420645508915186
1,46,1,0.012054135091602802
1,47,1,0.010424135252833366
1,48,1,0.0775008276104927
1,49,1,0.011462981812655926
1,50,1,0.011534813791513443
1,51,1,0.01096437219530344
1,52,1,0.01030117366462946
1,53,1,0.010606542229652405
1,54,1,0.010346800088882446
1,55,1,0.010370354168117046
1,57,1,0.0178114902228117
1,58,1,0.07851438224315643
1,59,1,0.07626140862703323
1,60,1,0.01034920010715723
1,61,1,0.010566332377493382
1,63,1,0.010433593764901161
1,64,1,0.010423512198030949
1,65,1,0.014474335126578808
1,66,1,0.010862626135349274
1,68,1,0.01075011771172285
1,69,1,0.010544583201408386
1,70,1,0.010445037856698036
1,71,1,0.01031377725303173
1,72,1,0.010330140590667725
1,73,1,0.010722464881837368
1,77,1,0.010504930280148983
1,80,1,0.010709927417337894
1,81,1,0.011592294089496136
1,86,1,0.010578838177025318
1,88,1,0.01032246369868517
1,89,1,0.011441298760473728
1,91,1,0.010339297354221344
1,92,1,0.013980885967612267
1,94,0,0.0117074279114604
1,97,0,0.0109020434319973
1,98,1,0.010340477339923382
1,99,0,0.01030786707997322
2,1,1,0.011573328636586666
2,2,0,0.010190936736762524
2,4,0,0.011001533828675747
2,23,0,0.010438470169901848
2,28,0,0.010418349876999855
2,43,0,0.010437664575874805
2,47,0,0.010360628366470337
2,49,0,0.010403966531157494
2,50,0,0.010422862134873867
2,53,0,0.010681458748877048
2,55,0,0.010436461307108402
2,60,0,0.010491118766367435
2,61,0,0.01066614966839552
2,68,0,0.010379400104284286
2,71,0,0.01040706317871809
2,72,0,0.010440630838274956
2,75,0,0.010625706985592842
2,85,0,0.010451928712427616
2,88,0,0.010423998348414898
2,89,0,0.010695770382881165
2,91,0,0.010190357454121113
2,94,0,0.010697023943066597
2,97,0,0.010474298149347305
3,3,0,0.010168340988457203
4,2,0,0.010849623009562492
4,4,0,0.010180584155023098
4,21,0,0.010355041362345219
4,23,0,0.010816534981131554
4,28,0,0.010835440829396248
4,46,0,0.011905794031918049
4,49,0,0.010870378464460373
4,50,0,0.010814236477017403
4,72,0,0.010237754322588444
4,94,0,0.011304927058517933
4,97,0,0.010692322626709938
5,5,0,0.010204184800386429
5,12,0,0.010651355609297752
5,24,0,0.018706653267145157
5,66,0,0.012795892544090748
6,6,0,0.010190202854573727
7,7,0,0.010176078416407108
7,14,1,0.01409058552235365
7,16,0,0.06514956802129745
7,30,0,0.10356921702623367
7,53,0,0.010936965234577656
7,55,0,0.01042066141963005
8,8,0,0.010174720548093319
8,18,0,0.01036273967474699
8,31,0,0.010596603155136108
8,42,0,0.07066234946250916
8,43,0,0.010468513704836369
8,81,0,0.010625705122947693
8,85,0,0.010809012688696384
10,10,0,0.010198351927101612
11,11,0,0.010202393867075443
12,5,0,0.013902764767408371
12,12,0,0.010168304666876793
12,24,0,0.01853332109749317
12,66,0,0.011543055064976215
14,0,1,0.06168312579393387
14,2,1,0.010944157838821411
14,3,1,0.05584258213639259
14,4,1,0.011486896313726902
14,5,1,0.010166953317821026
14,6,1,0.027953481301665306
14,7,1,0.04301711916923523
14,8,1,0.010210121050477028
14,9,1,0.05797316133975983
14,10,1,0.05857798084616661
14,11,1,0.06378915160894394
14,12,1,0.010181610472500324
14,13,1,0.058619964867830276
14,14,0,0.010172512382268906
14,15,1,0.05730815231800079
14,16,1,0.024844994768500328
14,18,1,0.010375150479376316
14,19,1,0.05750538408756256
14,20,1,0.053893279284238815
14,21,1,0.010745558887720108
14,22,1,0.05913696810603142
14,23,1,0.01094861887395382
14,24,1,0.011047235690057278
14,25,1,0.015259171836078167
14,26,1,0.012362045235931873
14,27,1,0.05759519711136818
14,28,1,0.01094221230596304
14,29,1,0.01116361003369093
14,30,1,0.013116796500980854
14,31,1,0.010459067299962044
14,32,1,0.059180594980716705
14,33,1,0.06699047982692719
14,34,1,0.07270332425832748
14,35,1,0.059170760214328766
14,36,1,0.054959945380687714
14,37,1,0.05811906233429909
14,38,1,0.05690678209066391
14,39,1,0.010518725030124187
14,40,1,0.06837646663188934
14,41,1,0.0577060766518116
14,42,1,0.01624193973839283
14,43,1,0.010438081808388233
14,45,1,0.010414226911962032
14,46,1,0.011876518838107586
14,47,1,0.01043961476534605
14,48,1,0.05806497111916542
14,49,1,0.010961424559354782
14,50,1,0.010935558937489986
14,51,1,0.011115879751741886
14,52,1,0.010389772243797779
14,53,1,0.010722077451646328
14,54,1,0.010389624163508415
14,55,1,0.010534029453992844
14,57,1,0.017763912677764893
14,58,1,0.05844445526599884
14,59,1,0.05844324082136154
14,60,1,0.01047303806990385
14,61,1,0.010650459676980972
14,63,1,0.010479312390089035
14,64,1,0.010564228519797325
14,65,1,0.010529215447604656
14,66,1,0.010683869943022728
14,68,1,0.010532451793551445
14,69,1,0.010882612317800522
14,70,1,0.010456599295139313
14,71,1,0.010396554134786129
14,72,1,0.010469409637153149
14,73,1,0.010559615679085255
14,77,1,0.010524548590183258
14,80,1,0.010715831071138382
14,81,1,0.010450949892401695
14,85,0,0.010450880043208599
14,86,1,0.010490437038242817
14,88,1,0.010396658442914486
14,89,1,0.01106816902756691
14,91,1,0.010313342325389385
14,92,1,0.010387538932263851
14,98,1,0.010344436392188072
16,7,0,0.052733924239873886
16,14,1,0.014627654105424881
16,16,0,0.010215651243925095
16,30,0,0.01483131106942892
16,45,0,0.05235893651843071
16,55,0,0.010822364129126072
16,61,0,0.010857682675123215
16,63,0,0.010471884161233902
16,77,0,0.013505333103239536
16,86,0,0.010805786587297916
16,87,0,0.022696563974022865
16,92,0,0.052338674664497375
16,98,0,0.010367932729423046
17,1,1,0.06654558330774307
17,14,1,0.12105940282344818
18,8,0,0.01633681356906891
18,14,1,0.012698167003691196
18,18,0,0.010169541463255882
18,21,0,0.026912333443760872
18,31,0,0.013349542394280434
18,42,0,0.012360037304461002
18,43,0,0.010452359914779663
18,54,0,0.010457977652549744
18,55,0,0.010562350042164326
18,61,0,0.010742352344095707
18,69,0,0.011572740972042084
18,79,0,0.010851778090000153
18,81,0,0.01713620498776436
18,85,0,0.010534231550991535
20,20,0,0.010203777812421322
21,4,0,0.011358581483364105
21,18,0,0.043160341680049896
21,21,0,0.010197345167398453
21,26,0,0.08473937958478928
21,31,0,0.048566173762083054
21,43,0,0.010728892870247364
21,55,0,0.010846871882677078
21,72,0,0.010579650290310383
21,73,0,0.052552297711372375
21,77,0,0.01286843977868557
21,79,0,0.010784623213112354
21,81,0,0.04650544002652168
21,85,0,0.01065823994576931
21,88,0,0.010563602671027184
23,1,1,0.011592964641749859
23,2,0,0.010398859158158302
23,4,0,0.010980205610394478
23,23,0,0.010182562284171581
23,28,0,0.010404866188764572
23,43,0,0.010420793667435646
23,47,0,0.010372442193329334
23,49,0,0.010413071140646935
23,50,0,0.010397561825811863
23,53,0,0.010628867894411087
23,55,0,0.010488506406545639
23,60,0,0.010486206039786339
23,61,0,0.010657121427357197
23,68,0,0.01034498494118452
23,71,0,0.01044722180813551
23,72,0,0.010397253558039665
23,75,0,0.010654914192855358
23,85,0,0.010439539328217506
23,88,0,0.01044359803199768
23,89,0,0.010682744905352592
23,91,0,0.010187354870140553
23,94,0,0.010698136873543262
23,97,0,0.010435876436531544
24,5,0,0.010245634242892265
24,12,0,0.011796126142144203
24,24,0,0.01020212285220623
24,29,0,0.019739976152777672
24,66,0,0.01104841660708189
24,87,0,0.012076141312718391
25,25,0,0.010194183327257633
25,80,0,0.011483149603009224
26,21,0,0.07454237341880798
26,26,0,0.010179215110838413
26,69,0,0.03509160876274109
26,72,0,0.013441315852105618
26,73,0,0.03475520759820938
28,1,1,0.01153746247291565
28,2,0,0.010361690074205399
28,4,0,0.010994202457368374
28,23,0,0.010430430993437767
28,28,0,0.010220020078122616
28,43,0,0.010410371236503124
28,47,0,0.010339356027543545
28,49,0,0.010372735559940338
28,50,0,0.010419254191219807
28,53,0,0.010659737512469292
28,55,0,0.01047056820243597
28,60,0,0.01049026194959879
28,61,0,0.010645673610270023
28,68,0,0.010384681634604931
28,71,0,0.01038509700447321
28,72,0,0.010433931834995747
28,75,0,0.010660054162144661
28,85,0,0.01043030247092247
28,88,0,0.010418731719255447
28,89,0,0.010665932670235634
28,91,0,0.010230153799057007
28,94,0,0.010668930597603321
28,97,0,0.010457301512360573
29,24,0,0.06935671716928482
29,29,0,0.010184356942772865
29,87,0,0.024668093770742416
30,7,0,0.14045415818691254
30,14,1,0.014990485273301601
30,16,0,0.10155916213989258
30,30,0,0.010153057053685188
30,80,0,0.010951586998999119
30,94,0,0.03716178983449936
31,8,0,0.012826582416892052
31,14,1,0.011961376294493675
31,18,0,0.010400612838566303
31,21,0,0.0175617802888155
31,31,0,0.010172100737690926
31,42,0,0.012532276101410389
31,43,0,0.010403523221611977
31,55,0,0.010471424087882042
31,61,0,0.01074366457760334
31,69,0,0.010960981249809265
31,79,0,0.010824447497725487
31,81,0,0.010435431264340878
31,85,0,0.01045183278620243
31,88,0,0.010434326715767384
32,32,0,0.010173887014389038
33,1,1,0.012625554576516151
33,33,0,0.01017539668828249
33,66,0,0.011239145882427692
33,69,0,0.011021069251000881
33,72,0,0.010359593667089939
33,99,0,0.009977317415177822
34,34,0,0.010177390649914742
34,52,0,0.010704184882342815
