s,d,grn,exp
0,0,0,0.009266214445233345
0,81,0,0.3043389916419983
0,87,0,0.5300483107566833
1,0,1,0.4275423288345337
1,1,0,0.00921566877514124
1,2,1,0.3025829792022705
1,3,1,0.20995913445949554
1,4,1,0.45930254459381104
1,5,1,0.12701672315597534
1,6,1,0.5904195308685303
1,7,1,0.49254292249679565
1,8,1,0.518164873123169
1,9,1,0.391722172498703
1,10,1,0.5171335339546204
1,11,1,0.4240332841873169
1,12,1,0.309601753950119
1,13,1,0.3574290871620178
1,15,1,0.07278808951377869
1,16,1,0.34249746799468994
1,18,1,0.1425267606973648
1,19,1,0.49694085121154785
1,20,1,0.9745367765426636
1,21,1,0.4572505056858063
1,22,1,0.3414595127105713
1,23,1,0.4195733070373535
1,24,1,0.30951470136642456
1,25,1,0.3258291482925415
1,26,1,0.5859442949295044
1,27,1,0.2883070409297943
1,28,1,0.17091597616672516
1,29,1,0.15561865270137787
1,30,1,0.5235784649848938
1,31,1,0.13264042139053345
1,32,1,0.22485414147377014
1,33,1,0.3245461881160736
1,34,1,0.33519554138183594
1,35,1,0.5564611554145813
1,36,1,0.2937261164188385
1,37,1,0.3554706871509552
1,38,1,0.35095807909965515
1,39,1,0.9926220178604126
1,40,1,0.3774188160896301
1,41,1,0.43187299370765686
1,42,1,0.5112759470939636
1,43,1,0.5109864473342896
1,45,1,0.3558520972728729
1,46,1,0.3246857821941376
1,47,1,0.1877569854259491
1,48,1,0.4939120411872864
1,49,1,0.5039206147193909
1,50,1,0.3426286280155182
1,51,1,0.42265525460243225
1,52,1,0.12068667262792587
1,53,1,0.1854722648859024
1,54,1,0.28017687797546387
1,55,1,0.07059531658887863
1,57,1,0.4566498398780823
1,58,1,0.3767583668231964
1,59,1,0.11481160670518875
1,60,1,0.465709388256073
1,61,1,0.05097286030650139
1,63,1,0.06657029688358307
1,64,1,0.4031729996204376
1,65,1,0.29862987995147705
1,66,1,0.23770743608474731
1,68,1,0.1974966675043106
1,69,1,0.9940576553344727
1,70,1,0.25326260924339294
1,71,1,0.26738137006759644
1,72,1,0.33937975764274597
1,73,1,0.17541134357452393
1,77,1,0.08136369287967682
1,80,1,0.10789132863283157
1,81,1,0.39321354031562805
1,83,0,0.3474685549736023
1,86,1,0.4494083523750305
1,88,1,0.3499666154384613
1,89,1,0.247578963637352
1,91,1,0.5145817995071411
1,92,1,0.3348783254623413
1,96,0,0.559670090675354
1,98,1,0.18276144564151764
2,2,0,0.009243120439350605
3,3,0,0.009216678328812122
3,5,0,0.0401822105050087
3,11,0,0.1839921623468399
3,13,0,0.10406919568777084
3,15,0,0.03916576877236366
3,18,0,0.07222311198711395
3,31,0,0.04631469398736954
3,32,0,0.011851082555949688
3,42,0,0.132384791970253
3,59,0,0.040988221764564514
4,4,0,0.009256142191588879
4,7,0,0.44937023520469666
4,13,0,0.3525831997394562
4,29,0,0.18939973413944244
4,35,0,0.5568132400512695
4,96,0,0.41751256585121155
5,3,0,0.08032946288585663
5,5,0,0.009207207709550858
5,11,0,0.41120046377182007
5,15,0,0.0386282280087471
5,31,0,0.081672303378582
5,32,0,0.09321527928113937
5,59,0,0.04603938013315201
5,65,0,0.25821927189826965
6,6,0,0.009281398728489876
6,10,0,0.4456745684146881
6,14,1,0.9281501173973083
7,1,1,0.9834237098693848
7,4,0,0.5336729288101196
7,7,0,0.00928095169365406
7,11,0,0.35090193152427673
7,13,0,0.9901397824287415
7,21,0,0.3112868368625641
7,29,0,0.25866782665252686
7,35,0,0.9907304644584656
7,91,0,0.9803838133811951
7,96,0,0.5136322379112244
8,8,0,0.009314047172665596
8,10,0,0.3616231381893158
8,48,0,0.19197185337543488
8,90,0,0.40685632824897766
8,96,0,0.2815200388431549
9,9,0,0.009288540109992027
10,6,0,0.3713833689689636
10,8,0,0.3681601285934448
10,10,0,0.009362146258354187
10,13,0,0.2959802746772766
10,48,0,0.1393546611070633
10,76,0,0.44947946071624756
10,90,0,0.3502184748649597
11,3,0,0.02812185510993004
11,5,0,0.07482481747865677
11,7,0,0.3495497405529022
11,11,0,0.009198972955346107
11,13,0,0.18162111937999725
11,15,0,0.05577788129448891
11,20,0,0.496315062046051
11,31,0,0.039914313703775406
11,32,0,0.02941347099840641
11,34,0,0.09135989844799042
11,73,0,0.0629812479019165
11,81,0,0.2701355814933777
11,96,0,0.28406739234924316
12,12,0,0.009210127405822277
12,15,0,0.19060200452804565
13,3,0,0.011549572460353374
13,4,0,0.1906428188085556
13,7,0,0.16887445747852325
13,10,0,0.2260000854730606
13,11,0,0.22889170050621033
13,13,0,0.00928844790905714
13,14,1,0.1261707842350006
13,15,0,0.03301103040575981
13,21,0,0.17468354105949402
13,32,0,0.011452196165919304
13,39,0,0.9920193552970886
13,48,0,0.10479729622602463
13,96,0,0.20010748505592346
14,0,1,0.4083103835582733
14,2,1,0.27721092104911804
14,3,1,0.18509581685066223
14,4,1,0.4143504202365875
14,5,1,0.1372668445110321
14,6,1,0.550068199634552
14,7,1,0.49746304750442505
14,8,1,0.4509960114955902
14,9,1,0.3614828288555145
14,10,1,0.4616987407207489
14,11,1,0.4310484528541565
14,12,1,0.2689942419528961
14,13,1,0.36159637570381165
14,14,0,0.0092603899538517
14,15,1,0.07223908603191376
14,16,1,0.2768116295337677
14,18,1,0.15673090517520905
14,19,1,0.5434515476226807
14,20,1,0.992133617401123
14,21,1,0.3541555404663086
14,22,1,0.277743399143219
14,23,1,0.3632014989852905
14,24,1,0.18071967363357544
14,25,1,0.33491018414497375
14,26,1,0.5042060017585754
14,27,1,0.19691181182861328
14,28,1,0.10332968831062317
14,29,1,0.19313539564609528
14,30,1,0.5085092186927795
14,31,1,0.07054559886455536
14,32,1,0.1664571464061737
14,33,1,0.2808349132537842
14,34,1,0.20172011852264404
14,35,1,0.44673600792884827
14,36,1,0.2530277967453003
14,37,1,0.25236940383911133
14,38,1,0.2854202091693878
14,39,1,0.5987158417701721
14,40,1,0.249431774020195
14,41,1,0.36385342478752136
14,42,1,0.3433864414691925
14,43,1,0.4909095764160156
14,45,1,0.3093198835849762
14,46,1,0.27971750497817993
14,47,1,0.22730959951877594
14,48,1,0.34161922335624695
14,49,1,0.42536216974258423
14,50,1,0.3035672605037689
14,51,1,0.39814522862434387
14,52,1,0.11980562657117844
14,53,1,0.1543482542037964
14,54,1,0.1578420102596283
14,55,1,0.059447094798088074
14,57,1,0.8726145029067993
14,58,1,0.3250105082988739
14,59,1,0.11826794594526291
14,60,1,0.398260235786438
14,61,1,0.055235929787158966
14,63,1,0.07500314712524414
14,64,1,0.35200804471969604
14,65,1,0.19013629853725433
14,66,1,0.2342880815267563
14,68,1,0.08969210088253021
14,69,1,0.9839478731155396
14,70,1,0.27946531772613525
14,71,1,0.15604524314403534
14,72,1,0.3204144239425659
14,73,1,0.19645783305168152
14,77,1,0.0919971838593483
14,78,0,0.5567373037338257
14,80,1,0.11918461322784424
14,81,1,0.3331327438354492
14,86,1,0.3747907280921936
14,88,1,0.27202126383781433
14,89,1,0.23914015293121338
14,91,1,0.42320486903190613
14,92,1,0.2445162683725357
14,98,1,0.12552696466445923
15,3,0,0.017402544617652893
15,5,0,0.11878886073827744
15,11,0,0.21390989422798157
15,12,0,0.1374201476573944
15,13,0,0.25057417154312134
15,14,1,0.1314808428287506
15,15,0,0.009258709847927094
15,31,0,0.03930163010954857
15,32,0,0.013926664367318153
15,42,0,0.21274709701538086
15,59,0,0.17073146998882294
15,81,0,0.16884364187717438
16,16,0,0.009293921291828156
17,1,1,0.34464824199676514
17,14,1,0.43533891439437866
18,3,0,0.02008627913892269
18,18,0,0.009359647519886494
18,32,0,0.020358428359031677
19,19,0,0.009393579326570034
19,30,0,0.9733113050460815
19,91,0,0.5135182738304138
20,11,0,0.48160603642463684
20,20,0,0.009249699302017689
20,91,0,0.9916449189186096
20,96,0,0.5694994330406189
21,1,1,0.19649478793144226
21,7,0,0.42213577032089233
21,13,0,0.24020807445049286
21,21,0,0.009189051575958729
21,42,0,0.2315850704908371
21,48,0,0.1478802114725113
21,66,0,0.12025494873523712
21,90,0,0.3760920464992523
21,96,0,0.3680296242237091
23,23,0,0.0092857014387846
23,29,0,0.4877913296222687
23,41,0,0.45047739148139954
23,81,0,0.38116154074668884
24,24,0,0.009308227337896824
25,25,0,0.009302170015871525
26,26,0,0.009263237938284874
27,1,1,0.2999472916126251
27,27,0,0.009246527217328548
27,28,0,0.038116950541734695
27,40,0,0.12723390758037567
28,27,0,0.07754277437925339
28,28,0,0.009337686002254486
28,40,0,0.17029476165771484
29,1,1,0.9884846806526184
29,4,0,0.4601048529148102
29,7,0,0.48331743478775024
29,23,0,0.4249184727668762
29,29,0,0.009282789193093777
29,81,0,0.4036779999732971
29,96,0,0.5537109971046448
30,19,0,0.9889044165611267
30,30,0,0.00922468863427639
30,91,0,0.5131605267524719
31,3,0,0.014482276514172554
31,5,0,0.08249978721141815
31,11,0,0.21424323320388794
31,15,0,0.06503277271986008
31,31,0,0.009339873678982258
31,32,0,0.013658614829182625
31,81,0,0.1987048089504242
32,3,0,0.012559382244944572
32,5,0,0.0389777310192585
32,11,0,0.2090020775794983
32,13,0,0.09889447689056396
32,15,0,0.03626857325434685
32,18,0,0.05482906848192215
32,31,0,0.04687778651714325
32,32,0,0.009246627800166607
32,42,0,0.14755606651306152
32,59,0,0.041797325015068054
33,33,0,0.009305483661592007
34,11,0,0.4755997657775879
34,34,0,0.00925465952605009
34,66,0,0.25187742710113525
34,81,0,0.3987996280193329
34,90,0,0.4592767059803009
35,4,0,0.9841724038124084
