s,d,grn,exp
0,1,1,0.4995146691799164
0,2,0,0.5007283091545105
0,3,0,0.49828121066093445
0,4,1,0.500030517578125
0,5,0,0.4997826814651489
0,6,0,0.501291811466217
1,0,1,0.5003834366798401
1,2,1,0.5001375675201416
1,3,1,0.4996698796749115
1,4,0,0.4989606440067291
1,5,0,0.5010989904403687
1,6,0,0.4989340007305145
2,0,0,0.5007178783416748
2,1,1,0.501166045665741
2,3,0,0.4994370937347412
2,4,0,0.5008798837661743
2,5,0,0.5006558895111084
2,6,0,0.500529408454895
3,0,0,0.501220703125
3,1,1,0.4986859858036041
3,2,0,0.5004533529281616
3,4,0,0.5001423954963684
3,5,0,0.500992476940155
3,6,0,0.49932795763015747
4,0,1,0.4993462562561035
4,1,0,0.4981045424938202
4,2,0,0.49794459342956543
4,3,0,0.5012149810791016
4,5,1,0.4994816780090332
4,6,1,0.49875953793525696
5,0,0,0.49860307574272156
5,1,0,0.5006461143493652
5,2,0,0.4994354546070099
5,3,0,0.4993044435977936
5,4,1,0.4998922049999237
5,6,0,0.49828773736953735
6,0,0,0.5000853538513184
6,1,0,0.49777838587760925
6,2,0,0.5002602338790894
6,3,0,0.4992632567882538
6,4,1,0.4998340308666229
6,5,0,0.5006457567214966
