s,d,grn,exp
0,1,1,0.559219479560852
0,2,0,0.5586875081062317
0,3,0,0.54716557264328
0,4,1,0.5526144504547119
0,5,0,0.551430881023407
0,6,0,0.5782791376113892
1,0,1,0.5532176494598389
1,2,1,0.5645550489425659
1,3,1,0.54770427942276
1,4,0,0.5532955527305603
1,5,0,0.5637708902359009
1,6,0,0.5626020431518555
2,0,0,0.5597447752952576
2,1,1,0.5705305337905884
2,3,0,0.5549308657646179
2,4,0,0.5494984984397888
2,5,0,0.5594525337219238
2,6,0,0.5658413767814636
3,0,0,0.5551738142967224
3,1,1,0.5502350926399231
3,2,0,0.5699341297149658
3,4,0,0.5628335475921631
3,5,0,0.5521643161773682
3,6,0,0.5519683957099915
4,0,1,0.5713145732879639
4,1,0,0.5698462128639221
4,2,0,0.5483712553977966
4,3,0,0.5506231188774109
4,5,1,0.5525269508361816
4,6,1,0.5592004060745239
5,0,0,0.5614398717880249
5,1,0,0.5697593092918396
5,2,0,0.5526403784751892
5,3,0,0.5570068359375
5,4,1,0.5445637702941895
5,6,0,0.5502863526344299
6,0,0,0.5603969097137451
6,1,0,0.5550693273544312
6,2,0,0.5542495250701904
6,3,0,0.5571580529212952
6,4,1,0.5607084631919861
6,5,0,0.5617250204086304
