s,d,grn,exp
0,0,0,0.19078479707241058
0,81,0,0.1921667605638504
0,87,0,0.2123226821422577
1,0,1,0.2095669060945511
1,1,0,0.2788085639476776
1,2,1,0.21512891352176666
1,3,1,0.15585820376873016
1,4,1,0.2102029025554657
1,5,1,0.1685173511505127
1,6,1,0.21162350475788116
1,7,1,0.17568139731884003
1,8,1,0.19561250507831573
1,9,1,0.20246493816375732
1,10,1,0.20876269042491913
1,11,1,0.17214827239513397
1,12,1,0.20671434700489044
1,13,1,0.17504282295703888
1,15,1,0.22405725717544556
1,16,1,0.21499161422252655
1,18,1,0.20338168740272522
1,19,1,0.21658724546432495
1,20,1,0.21345241367816925
1,21,1,0.18057337403297424
1,22,1,0.2022346407175064
1,23,1,0.18312864005565643
1,24,1,0.20440134406089783
1,25,1,0.21212120354175568
1,26,1,0.21604271233081818
1,27,1,0.1916353404521942
1,28,1,0.1837719827890396
1,29,1,0.17265668511390686
1,30,1,0.19854940474033356
1,31,1,0.1619182527065277
1,32,1,0.15877583622932434
1,33,1,0.22101587057113647
1,34,1,0.17401477694511414
1,35,1,0.20715013146400452
1,36,1,0.21440786123275757
1,37,1,0.19879285991191864
1,38,1,0.2065178006887436
1,39,1,0.20835314691066742
1,40,1,0.18393783271312714
1,41,1,0.2062525600194931
1,42,1,0.19268782436847687
1,43,1,0.18700338900089264
1,45,1,0.21797166764736176
1,46,1,0.19955702126026154
1,47,1,0.19496552646160126
1,48,1,0.2023695856332779
1,49,1,0.17858661711215973
1,50,1,0.19428059458732605
1,51,1,0.20853227376937866
1,52,1,0.2330552041530609
1,53,1,0.21418540179729462
1,54,1,0.20851653814315796
1,55,1,0.209646537899971
1,57,1,0.21309661865234375
1,58,1,0.20617419481277466
1,59,1,0.1891425997018814
1,60,1,0.2391291707754135
1,61,1,0.2152201533317566
1,63,1,0.18030202388763428
1,64,1,0.23526157438755035
1,65,1,0.19099466502666473
1,66,1,0.20609286427497864
1,68,1,0.19227658212184906
1,69,1,0.20224547386169434
1,70,1,0.21145963668823242
1,71,1,0.22347381711006165
1,72,1,0.19248877465724945
1,73,1,0.2049461305141449
1,77,1,0.1835319697856903
1,80,1,0.18247024714946747
1,81,1,0.23673059046268463
1,83,0,0.22859032452106476
1,86,1,0.19168032705783844
1,88,1,0.22229428589344025
1,89,1,0.192813441157341
1,91,1,0.23459231853485107
1,92,1,0.21564020216464996
1,96,0,0.23407410085201263
1,98,1,0.22299569845199585
2,2,0,0.21828758716583252
3,3,0,0.13694746792316437
3,5,0,0.13906532526016235
3,11,0,0.1490427404642105
3,13,0,0.18190263211727142
3,15,0,0.1892854869365692
3,18,0,0.19819730520248413
3,31,0,0.1453208178281784
3,32,0,0.13918182253837585
3,42,0,0.17144618928432465
3,59,0,0.18670788407325745
4,4,0,0.20300212502479553
4,7,0,0.1895194947719574
4,13,0,0.1880275309085846
4,29,0,0.18050362169742584
4,35,0,0.2259621024131775
4,96,0,0.20808430016040802
5,3,0,0.13326071202754974
5,5,0,0.14252692461013794
5,11,0,0.15621398389339447
5,15,0,0.19131143391132355
5,31,0,0.15042364597320557
5,32,0,0.13287408649921417
5,59,0,0.17256738245487213
5,65,0,0.1660131812095642
6,6,0,0.2139023095369339
6,10,0,0.19332705438137054
6,14,1,0.2423543781042099
7,1,1,0.26300206780433655
7,4,0,0.18321481347084045
7,7,0,0.1708160787820816
7,11,0,0.15559419989585876
7,13,0,0.17291350662708282
7,21,0,0.16463927924633026
7,29,0,0.17555634677410126
7,35,0,0.20026855170726776
7,91,0,0.21614302694797516
7,96,0,0.20225180685520172
8,8,0,0.1847153902053833
8,10,0,0.17230500280857086
8,48,0,0.1858791708946228
8,90,0,0.19545508921146393
8,96,0,0.2099054902791977
9,9,0,0.19144247472286224
10,6,0,0.21600204706192017
10,8,0,0.18542397022247314
10,10,0,0.179806649684906
10,13,0,0.18055018782615662
10,48,0,0.19016724824905396
10,76,0,0.19706852734088898
10,90,0,0.20317304134368896
11,3,0,0.14127367734909058
11,5,0,0.14913782477378845
11,7,0,0.18194562196731567
11,11,0,0.15795540809631348
11,13,0,0.1721082180738449
11,15,0,0.2060941457748413
11,20,0,0.1962161809206009
11,31,0,0.13825556635856628
11,32,0,0.15075622498989105
11,34,0,0.16751573979854584
11,73,0,0.18848952651023865
11,81,0,0.21249741315841675
11,96,0,0.22252902388572693
12,12,0,0.19486753642559052
12,15,0,0.19562818109989166
13,3,0,0.1414622962474823
13,4,0,0.18275299668312073
13,7,0,0.18015410006046295
13,10,0,0.16542060673236847
13,11,0,0.15152309834957123
13,13,0,0.16955392062664032
13,14,1,0.272579550743103
13,15,0,0.1949746161699295
13,21,0,0.16143056750297546
13,32,0,0.14251787960529327
13,39,0,0.20756219327449799
13,48,0,0.17670650780200958
13,96,0,0.21842588484287262
14,0,1,0.19349078834056854
14,2,1,0.22397159039974213
14,3,1,0.1418018341064453
14,4,1,0.21920213103294373
14,5,1,0.16993798315525055
14,6,1,0.21359126269817352
14,7,1,0.17792440950870514
14,8,1,0.18788133561611176
14,9,1,0.20372343063354492
14,10,1,0.19313453137874603
14,11,1,0.16109994053840637
14,12,1,0.21354258060455322
14,13,1,0.17863957583904266
14,14,0,0.2854617238044739
14,15,1,0.21214260160923004
14,16,1,0.22651149332523346
14,18,1,0.21460534632205963
14,19,1,0.2221798598766327
14,20,1,0.22757714986801147
14,21,1,0.17795386910438538
14,22,1,0.2045316994190216
14,23,1,0.1868663728237152
14,24,1,0.2185503989458084
14,25,1,0.22757992148399353
14,26,1,0.21700476109981537
14,27,1,0.18568402528762817
14,28,1,0.17706340551376343
14,29,1,0.1626533716917038
14,30,1,0.2302129715681076
14,31,1,0.16751693189144135
14,32,1,0.14178653061389923
14,33,1,0.21861451864242554
14,34,1,0.17045271396636963
14,35,1,0.21947094798088074
14,36,1,0.2218707948923111
14,37,1,0.19679316878318787
14,38,1,0.2141193449497223
14,39,1,0.23679761588573456
14,40,1,0.1611553430557251
14,41,1,0.20770004391670227
14,42,1,0.19255244731903076
14,43,1,0.20215070247650146
14,45,1,0.22107845544815063
14,46,1,0.22194446623325348
14,47,1,0.20441080629825592
14,48,1,0.22330322861671448
14,49,1,0.192781463265419
14,50,1,0.19524699449539185
14,51,1,0.20957905054092407
14,52,1,0.24537765979766846
14,53,1,0.23808977007865906
14,54,1,0.25000375509262085
14,55,1,0.2236289530992508
