s,d,grn,exp
0,1,1,0.05306624993681908
0,2,0,0.05252408608794212
0,3,0,0.053825583308935165
0,4,1,0.05315735563635826
0,5,0,0.05402863770723343
0,6,0,0.05276099219918251
1,0,1,0.053430866450071335
1,2,1,0.052938904613256454
1,3,1,0.05395813658833504
1,4,0,0.053238384425640106
1,5,0,0.05266841873526573
1,6,0,0.05315423384308815
2,0,0,0.05260036513209343
2,1,1,0.05292036011815071
2,3,0,0.053436048328876495
2,4,0,0.0527074858546257
2,5,0,0.05321913957595825
2,6,0,0.053671497851610184
3,0,0,0.053503040224313736
3,1,1,0.053656574338674545
3,2,0,0.053581032902002335
3,4,0,0.053665392100811005
3,5,0,0.05333664268255234
3,6,0,0.0526479035615921
4,0,1,0.0529860258102417
4,1,0,0.05391234904527664
4,2,0,0.053246792405843735
4,3,0,0.05338633432984352
4,5,1,0.05355365201830864
4,6,1,0.05353997275233269
5,0,0,0.05392158776521683
5,1,0,0.0534130334854126
5,2,0,0.05323854088783264
5,3,0,0.05355829745531082
5,4,1,0.0531933419406414
5,6,0,0.05240177735686302
6,0,0,0.0538070984184742
6,1,0,0.05336424708366394
6,2,0,0.0531190000474453
6,3,0,0.053524356335401535
6,4,1,0.053626082837581635
6,5,0,0.05320964753627777
