s,d,grn,exp
0,0,0,0.9524012207984924
0,81,0,0.9524184465408325
0,87,0,0.9524152874946594
1,0,1,0.9523926377296448
1,1,0,0.9524076581001282
1,2,1,0.9523763656616211
1,3,1,0.9523800015449524
1,4,1,0.9523629546165466
1,5,1,0.9523640871047974
1,6,1,0.9524003267288208
1,7,1,0.9523888230323792
1,8,1,0.9524080157279968
1,9,1,0.9523791670799255
1,10,1,0.9524118900299072
1,11,1,0.9524086713790894
1,12,1,0.9523704648017883
1,13,1,0.9523726105690002
1,15,1,0.9523849487304688
1,16,1,0.9523476958274841
1,18,1,0.9524034261703491
1,19,1,0.9523813724517822
1,20,1,0.9523497819900513
1,21,1,0.9523668885231018
1,22,1,0.9524164795875549
1,23,1,0.9523544311523438
1,24,1,0.9523400068283081
1,25,1,0.9523696303367615
1,26,1,0.9523954391479492
1,27,1,0.952370285987854
1,28,1,0.9523679614067078
1,29,1,0.9522975087165833
1,30,1,0.9524193406105042
1,31,1,0.9522932767868042
1,32,1,0.9523318409919739
1,33,1,0.9523961544036865
1,34,1,0.9523705244064331
1,35,1,0.9523946642875671
1,36,1,0.9523678421974182
1,37,1,0.9524416327476501
1,38,1,0.9524270296096802
1,39,1,0.9523573517799377
1,40,1,0.9523812532424927
1,41,1,0.9523878693580627
1,42,1,0.9524041414260864
1,43,1,0.9523857831954956
1,45,1,0.9524232149124146
1,46,1,0.9524728059768677
1,47,1,0.9523738026618958
1,48,1,0.9524271488189697
1,49,1,0.9524393677711487
1,50,1,0.9523801803588867
1,51,1,0.9523345232009888
1,52,1,0.9523326754570007
1,53,1,0.9523726105690002
1,54,1,0.952423095703125
1,55,1,0.952423095703125
1,57,1,0.9524239301681519
1,58,1,0.9523767828941345
1,59,1,0.9523420929908752
1,60,1,0.9523999691009521
1,61,1,0.9523771405220032
1,63,1,0.9523659944534302
1,64,1,0.9524078369140625
1,65,1,0.9523118734359741
1,66,1,0.9523879885673523
1,68,1,0.9523857831954956
1,69,1,0.9523431658744812
1,70,1,0.9523784518241882
1,71,1,0.9524221420288086
1,72,1,0.9523435235023499
1,73,1,0.9524032473564148
1,77,1,0.9523470997810364
1,80,1,0.9523890614509583
1,81,1,0.9523956179618835
1,83,0,0.9524088501930237
1,86,1,0.9523726105690002
1,88,1,0.9523956179618835
1,89,1,0.9524117708206177
1,91,1,0.9523667693138123
1,92,1,0.9524118900299072
1,96,0,0.9523813724517822
1,98,1,0.9524247050285339
2,2,0,0.95233553647995
3,3,0,0.9523497819900513
3,5,0,0.9523667693138123
3,11,0,0.9523066282272339
3,13,0,0.9524050951004028
3,15,0,0.9523536562919617
3,18,0,0.952393651008606
3,31,0,0.952380359172821
3,32,0,0.9522859454154968
3,42,0,0.9523897767066956
3,59,0,0.9524240493774414
4,4,0,0.952316403388977
4,7,0,0.9524063467979431
4,13,0,0.9524086713790894
4,29,0,0.952409565448761
4,35,0,0.9524050951004028
4,96,0,0.9523566365242004
5,3,0,0.9523305892944336
5,5,0,0.9523952007293701
5,11,0,0.9523537755012512
5,15,0,0.9524003267288208
5,31,0,0.9523585438728333
5,32,0,0.9523850679397583
5,59,0,0.9523658156394958
5,65,0,0.9523965120315552
6,6,0,0.9523649215698242
6,10,0,0.9523391723632812
6,14,1,0.9523924589157104
7,1,1,0.9523653388023376
7,4,0,0.9524068832397461
7,7,0,0.9523382186889648
7,11,0,0.9523698091506958
7,13,0,0.9524123668670654
7,21,0,0.9524430632591248
7,29,0,0.9523852467536926
7,35,0,0.9523886442184448
7,91,0,0.9524306058883667
7,96,0,0.9523429274559021
8,8,0,0.9523687958717346
8,10,0,0.9523047804832458
8,48,0,0.9523622989654541
8,90,0,0.9523938298225403
8,96,0,0.952328622341156
9,9,0,0.9523992538452148
10,6,0,0.95233154296875
10,8,0,0.9523657560348511
10,10,0,0.9524125456809998
10,13,0,0.9523687362670898
10,48,0,0.952485203742981
10,76,0,0.9524421095848083
10,90,0,0.9523850083351135
11,3,0,0.9524237513542175
11,5,0,0.9523507356643677
11,7,0,0.9524233937263489
11,11,0,0.9523842334747314
11,13,0,0.9523429274559021
11,15,0,0.9524088501930237
11,20,0,0.9522753357887268
11,31,0,0.9523573517799377
11,32,0,0.9523999094963074
11,34,0,0.9523935914039612
11,73,0,0.9524164795875549
11,81,0,0.9523859620094299
11,96,0,0.9524375200271606
12,12,0,0.9524070024490356
