s,d,grn,exp
0,1,1,0.167864128947258
0,2,0,0.20816795527935028
0,3,0,0.16096436977386475
0,4,1,0.169089674949646
0,5,0,0.16154445707798004
0,6,0,0.5851846933364868
1,0,1,0.11754931509494781
1,2,1,0.14392182230949402
1,3,1,0.20857453346252441
1,4,0,0.17840957641601562
1,5,0,0.15012137591838837
1,6,0,0.1606588214635849
2,0,0,0.15011218190193176
2,1,1,0.1681315153837204
2,3,0,0.1885519176721573
2,4,0,0.18712489306926727
2,5,0,0.2001187801361084
2,6,0,0.3697894513607025
3,0,0,0.13048145174980164
3,1,1,0.17426005005836487
3,2,0,0.1957387775182724
3,4,0,0.047426946461200714
3,5,0,0.04742695391178131
3,6,0,0.047426991164684296
4,0,1,0.04742718115448952
4,1,0,0.04742706939578056
4,2,0,0.047426898032426834
4,3,0,0.04742704704403877
4,5,1,0.04742705821990967
4,6,1,0.047427017241716385
5,0,0,0.04742709547281265
5,1,0,0.047426991164684296
5,2,0,0.04742709547281265
5,3,0,0.047426920384168625
5,4,1,0.04742693528532982
5,6,0,0.04742711782455444
6,0,0,0.0474269837141037
6,1,0,0.04742703586816788
6,2,0,0.04742700606584549
6,3,0,0.047427255660295486
6,4,1,0.047427237033843994
6,5,0,0.04742719233036041
