s,d,grn,exp
0,0,0,0.008338780142366886
0,81,0,0.008535328321158886
0,87,0,0.010399972088634968
1,0,1,0.013577335514128208
1,1,0,0.00834706798195839
1,2,1,0.03389933332800865
1,3,1,0.00867025088518858
1,4,1,0.015794627368450165
1,5,1,0.009276358410716057
1,6,1,0.010439986363053322
1,7,1,0.010872842743992805
1,8,1,0.015300394967198372
1,9,1,0.018120786175131798
1,10,1,0.01822943426668644
1,11,1,0.009237712249159813
1,12,1,0.017942890524864197
1,13,1,0.009806028567254543
1,15,1,0.00916254986077547
1,16,1,0.03405708819627762
1,18,1,0.017804160714149475
1,19,1,0.02709776908159256
1,20,1,0.015570995397865772
1,21,1,0.011901234276592731
1,22,1,0.033434830605983734
1,23,1,0.011089339852333069
1,24,1,0.025754626840353012
1,25,1,0.03505662828683853
1,26,1,0.019884565845131874
1,27,1,0.008744983933866024
1,28,1,0.008845354430377483
1,29,1,0.009514855220913887
1,30,1,0.027025287970900536
1,31,1,0.008506824262440205
1,32,1,0.008710076101124287
1,33,1,0.0321592278778553
1,34,1,0.010975964367389679
1,35,1,0.019250167533755302
1,36,1,0.03319759666919708
1,37,1,0.015900487080216408
1,38,1,0.03399620205163956
1,39,1,0.06114159896969795
1,40,1,0.00980121735483408
1,41,1,0.01792658120393753
1,42,1,0.017201639711856842
1,43,1,0.014576578512787819
1,45,1,0.03447659686207771
1,46,1,0.03324645385146141
1,47,1,0.009157583117485046
1,48,1,0.01849435083568096
1,49,1,0.01456429623067379
1,50,1,0.016014862805604935
1,51,1,0.015679191797971725
1,52,1,0.014170709997415543
1,53,1,0.012851526960730553
1,54,1,0.013193415477871895
1,55,1,0.013035159558057785
1,57,1,0.04221296310424805
1,58,1,0.011764025315642357
1,59,1,0.012476843781769276
1,60,1,0.019092312082648277
1,61,1,0.012177852913737297
1,63,1,0.009868726134300232
1,64,1,0.015341212041676044
1,65,1,0.009297309443354607
1,66,1,0.01093919575214386
1,68,1,0.0091049550101161
1,69,1,0.045994408428668976
1,70,1,0.013753732666373253
1,71,1,0.013434342108666897
1,72,1,0.01120936032384634
1,73,1,0.008850477635860443
1,77,1,0.009916438721120358
1,80,1,0.009243161417543888
1,81,1,0.01223835814744234
1,83,0,0.012068656273186207
1,86,1,0.012196614407002926
1,88,1,0.014176174998283386
1,89,1,0.010966437868773937
1,91,1,0.010573959909379482
1,92,1,0.03299775347113609
1,96,0,0.010181568562984467
1,98,1,0.012279734015464783
2,2,0,0.00834579300135374
3,3,0,0.008357011713087559
3,5,0,0.008431687951087952
3,11,0,0.008575944229960442
3,13,0,0.008768925443291664
3,15,0,0.00835133995860815
3,18,0,0.012060726061463356
3,31,0,0.008299375884234905
3,32,0,0.008677073754370213
3,42,0,0.012836422771215439
3,59,0,0.009503617882728577
4,4,0,0.008347047492861748
4,7,0,0.009369655512273312
4,13,0,0.00971381738781929
4,29,0,0.008618595078587532
4,35,0,0.011746494099497795
4,96,0,0.009496757760643959
5,3,0,0.008774302899837494
5,5,0,0.008345039561390877
5,11,0,0.008578217588365078
5,15,0,0.008303152397274971
5,31,0,0.008337440900504589
