s,d,grn,exp
0,1,1,0.7656210064888
0,2,0,0.7584705948829651
0,3,0,0.7492250204086304
0,4,1,0.7677971720695496
0,5,0,0.7507376670837402
0,6,0,0.7634353041648865
1,0,1,0.775497317314148
1,2,1,0.738431990146637
1,3,1,0.7340598106384277
1,4,0,0.7844716310501099
1,5,0,0.7750620245933533
1,6,0,0.7438109517097473
2,0,0,0.22960516810417175
2,1,1,0.22195430099964142
2,3,0,0.23394030332565308
2,4,0,0.2242068350315094
2,5,0,0.22223028540611267
2,6,0,0.21782518923282623
3,0,0,0.22070425748825073
3,1,1,0.23334598541259766
3,2,0,0.229756161570549
3,4,0,0.22238722443580627
3,5,0,0.22452890872955322
3,6,0,0.22305916249752045
4,0,1,0.7747280597686768
4,1,0,0.78366619348526
4,2,0,0.7202519774436951
4,3,0,0.7141326665878296
4,5,1,0.7705109715461731
4,6,1,0.7240404486656189
5,0,0,0.4453617334365845
5,1,0,0.4283476173877716
5,2,0,0.22981679439544678
5,3,0,0.23796620965003967
5,4,1,0.44082993268966675
5,6,0,0.2325272113084793
6,0,0,0.2311941534280777
6,1,0,0.23191864788532257
6,2,0,0.2215709537267685
6,3,0,0.22587211430072784
6,4,1,0.22584185004234314
6,5,0,0.22420716285705566
