s,d,grn,exp
0,0,0,0.009315353818237782
0,81,0,0.36281582713127136
0,87,0,0.46884581446647644
1,0,1,0.4820818603038788
1,1,0,0.009320247918367386
1,2,1,0.4303846061229706
1,3,1,0.22032389044761658
1,4,1,0.4892013669013977
1,5,1,0.18471896648406982
1,6,1,0.5447414517402649
1,7,1,0.4790450632572174
1,8,1,0.5668256282806396
1,9,1,0.37131932377815247
1,10,1,0.5303934216499329
1,11,1,0.4653964042663574
1,12,1,0.33862826228141785
1,13,1,0.4323280453681946
1,15,1,0.14362573623657227
1,16,1,0.35003888607025146
1,18,1,0.18084686994552612
1,19,1,0.5107890367507935
1,20,1,0.5398513674736023
1,21,1,0.465300053358078
1,22,1,0.4048779010772705
1,23,1,0.43721455335617065
1,24,1,0.290444552898407
1,25,1,0.39255475997924805
1,26,1,0.6064558029174805
1,27,1,0.28208091855049133
1,28,1,0.19131982326507568
1,29,1,0.30162569880485535
1,30,1,0.5648468732833862
1,31,1,0.1552739441394806
1,32,1,0.20032455027103424
1,33,1,0.395509272813797
1,34,1,0.3279794156551361
1,35,1,0.5242911577224731
1,36,1,0.3297298550605774
1,37,1,0.36082226037979126
1,38,1,0.42204561829566956
1,39,1,0.9938153028488159
1,40,1,0.34003540873527527
1,41,1,0.4085536301136017
1,42,1,0.4574025869369507
1,43,1,0.47198784351348877
1,45,1,0.32374057173728943
1,46,1,0.36242374777793884
1,47,1,0.2797536849975586
1,48,1,0.5318129658699036
1,49,1,0.5067110061645508
1,50,1,0.3479298949241638
1,51,1,0.4341782331466675
1,52,1,0.15089978277683258
1,53,1,0.16584241390228271
1,54,1,0.22884677350521088
1,55,1,0.08395782113075256
1,57,1,0.9790369868278503
1,58,1,0.41607216000556946
1,59,1,0.1518949568271637
1,60,1,0.5094558596611023
1,61,1,0.06324450671672821
1,63,1,0.0779995396733284
1,64,1,0.4488981366157532
1,65,1,0.3031903803348541
1,66,1,0.20906804502010345
1,68,1,0.16481725871562958
1,69,1,0.9948084950447083
1,70,1,0.37985938787460327
1,71,1,0.23905545473098755
1,72,1,0.4025280177593231
1,73,1,0.3044358789920807
1,77,1,0.08734745532274246
1,80,1,0.14162035286426544
1,81,1,0.3770173490047455
1,83,0,0.38771069049835205
1,86,1,0.41282933950424194
1,88,1,0.3961000144481659
1,89,1,0.2638002336025238
1,91,1,0.5290295481681824
1,92,1,0.32300373911857605
