s,d,grn,exp
0,1,1,0.989614725112915
0,2,0,0.9899193048477173
0,3,0,0.9929456114768982
0,4,1,0.9898810982704163
0,5,0,0.990623414516449
0,6,0,0.9894998669624329
1,0,1,0.9912115931510925
1,2,1,0.9902752637863159
1,3,1,0.9895596504211426
1,4,0,0.9895333647727966
1,5,0,0.9894593954086304
1,6,0,0.9893748760223389
2,0,0,0.9900166392326355
2,1,1,0.990205705165863
2,3,0,0.9894825220108032
2,4,0,0.9894527196884155
2,5,0,0.9894099235534668
2,6,0,0.9896478056907654
3,0,0,0.9895039796829224
3,1,1,0.989551842212677
3,2,0,0.9905012845993042
3,4,0,0.9894322156906128
3,5,0,0.9895220398902893
3,6,0,0.9901946187019348
4,0,1,0.9895144701004028
4,1,0,0.9893709421157837
4,2,0,0.9895719289779663
4,3,0,0.9893537759780884
4,5,1,0.9895067811012268
4,6,1,0.9893542528152466
5,0,0,0.9894381761550903
5,1,0,0.9906044602394104
5,2,0,0.9893698692321777
5,3,0,0.9894240498542786
5,4,1,0.9897666573524475
5,6,0,0.9898481965065002
6,0,0,0.9895696640014648
6,1,0,0.9895532131195068
6,2,0,0.9894893765449524
6,3,0,0.9906388521194458
6,4,1,0.9896606206893921
6,5,0,0.9893786311149597
