s,d,grn,exp
0,0,0,0.08673502504825592
0,81,0,0.09899549186229706
0,87,0,0.10240313410758972
1,0,1,0.10458101332187653
1,1,0,0.08832918107509613
1,2,1,0.0
1,3,1,0.10330107808113098
1,4,1,0.10402300208806992
1,5,1,0.1069965660572052
1,6,1,0.10519493371248245
1,7,1,0.10784178227186203
1,8,1,0.10645745694637299
1,9,1,0.0
1,10,1,0.10569633543491364
1,11,1,0.10768506675958633
1,12,1,0.1056109219789505
1,13,1,0.10361839085817337
1,15,1,0.102088063955307
1,16,1,0.0
1,18,1,0.13917240500450134
1,19,1,0.14218801259994507
1,20,1,0.10446852445602417
1,21,1,0.10677040368318558
1,22,1,0.0
1,23,1,0.10319481045007706
1,24,1,0.0
1,25,1,0.0
1,26,1,0.0
1,27,1,0.10641898214817047
1,28,1,0.10417955368757248
1,29,1,0.1066708192229271
1,30,1,0.14307519793510437
1,31,1,0.10418755561113358
1,32,1,0.10877463966608047
1,33,1,0.0
1,34,1,0.10646461695432663
1,35,1,0.10654091089963913
1,36,1,0.0
1,37,1,0.0
1,38,1,0.0
1,39,1,0.10777360200881958
1,40,1,0.10392636805772781
1,41,1,0.13527998328208923
1,42,1,0.1028970256447792
1,43,1,0.0
1,45,1,0.0
1,46,1,0.0
1,47,1,0.10497917234897614
1,48,1,0.10400835424661636
1,49,1,0.0
1,50,1,0.0
1,51,1,0.0
1,52,1,0.1457710862159729
1,53,1,0.14403200149536133
1,54,1,0.10502657294273376
1,55,1,0.14341765642166138
1,57,1,0.0
1,58,1,0.13435712456703186
1,59,1,0.10909439623355865
1,60,1,0.144912451505661
1,61,1,0.1453493982553482
1,63,1,0.10618932545185089
1,64,1,0.1464899778366089
1,65,1,0.14466668665409088
1,66,1,0.10591369867324829
1,68,1,0.10270470380783081
1,69,1,0.0
1,70,1,0.1450524479150772
1,71,1,0.13504819571971893
1,72,1,0.10623158514499664
1,73,1,0.10781370848417282
1,77,1,0.1060970276594162
1,80,1,0.0
1,81,1,0.10636791586875916
1,83,0,0.10524972528219223
1,86,1,0.14732082188129425
1,88,1,0.15298794209957123
1,89,1,0.14271432161331177
1,91,1,0.10435635596513748
