s,d,grn,exp
0,0,0,0.2460000067949295
0,81,0,0.24699999392032623
0,87,0,0.24699999392032623
1,0,1,0.24799999594688416
1,1,0,0.24300000071525574
1,2,1,0.0
1,3,1,0.24899999797344208
1,4,1,0.24699999392032623
1,5,1,0.24699999392032623
1,6,1,0.24699999392032623
1,7,1,0.2460000067949295
1,8,1,0.24799999594688416
1,9,1,0.0
1,10,1,0.24699999392032623
1,11,1,0.2460000067949295
1,12,1,0.24699999392032623
1,13,1,0.24799999594688416
1,15,1,0.24699999392032623
1,16,1,0.0
1,18,1,0.24799999594688416
1,19,1,0.2460000067949295
1,20,1,0.24899999797344208
1,21,1,0.24799999594688416
1,22,1,0.0
1,23,1,0.24699999392032623
1,24,1,0.0
1,25,1,0.0
1,26,1,0.0
1,27,1,0.24799999594688416
1,28,1,0.24899999797344208
1,29,1,0.24799999594688416
1,30,1,0.24699999392032623
1,31,1,0.2460000067949295
1,32,1,0.24799999594688416
1,33,1,0.0
1,34,1,0.24699999392032623
1,35,1,0.24699999392032623
1,36,1,0.0
1,37,1,0.0
1,38,1,0.0
1,39,1,0.24899999797344208
1,40,1,0.24799999594688416
1,41,1,0.24799999594688416
1,42,1,0.24899999797344208
1,43,1,0.0
1,45,1,0.0
1,46,1,0.0
1,47,1,0.24699999392032623
1,48,1,0.24699999392032623
1,49,1,0.0
1,50,1,0.0
1,51,1,0.0
1,52,1,0.25
1,53,1,0.24799999594688416
1,54,1,0.2460000067949295
1,55,1,0.24699999392032623
1,57,1,0.0
1,58,1,0.2460000067949295
1,59,1,0.24799999594688416
1,60,1,0.24799999594688416
1,61,1,0.2460000067949295
1,63,1,0.24799999594688416
1,64,1,0.2460000067949295
1,65,1,0.24799999594688416
1,66,1,0.24699999392032623
1,68,1,0.2460000067949295
1,69,1,0.0
1,70,1,0.24799999594688416
1,71,1,0.2460000067949295
1,72,1,0.24699999392032623
1,73,1,0.24899999797344208
1,77,1,0.24799999594688416
1,80,1,0.0
1,81,1,0.24799999594688416
1,83,0,0.24899999797344208
1,86,1,0.2460000067949295
1,88,1,0.24899999797344208
1,89,1,0.24799999594688416
1,91,1,0.24699999392032623
1,92,1,0.0
1,96,0,0.24799999594688416
1,98,1,0.24699999392032623
2,2,0,0.23999999463558197
3,3,0,0.24500000476837158
3,5,0,0.24899999797344208
3,11,0,0.24799999594688416
3,13,0,0.24799999594688416
3,15,0,0.24799999594688416
3,18,0,0.2460000067949295
3,31,0,0.24699999392032623
3,32,0,0.24899999797344208
3,42,0,0.24699999392032623
3,59,0,0.24799999594688416
4,4,0,0.24199999868869781
4,7,0,0.24799999594688416
4,13,0,0.24899999797344208
4,29,0,0.24699999392032623
4,35,0,0.24799999594688416
4,96,0,0.24799999594688416
5,3,0,0.24799999594688416
5,5,0,0.24300000071525574
5,11,0,0.24799999594688416
5,15,0,0.24699999392032623
5,31,0,0.25
5,32,0,0.24899999797344208
5,59,0,0.24799999594688416
5,65,0,0.24699999392032623
6,6,0,0.2409999966621399
6,10,0,0.24699999392032623
6,14,1,0.2460000067949295
7,1,1,0.24699999392032623
7,4,0,0.2460000067949295
7,7,0,0.24199999868869781
7,11,0,0.24799999594688416
7,13,0,0.24799999594688416
7,21,0,0.24699999392032623
7,29,0,0.24699999392032623
7,35,0,0.24799999594688416
7,91,0,0.24899999797344208
7,96,0,0.24699999392032623
8,8,0,0.24400000274181366
8,10,0,0.2460000067949295
8,48,0,0.24899999797344208
8,90,0,0.24500000476837158
8,96,0,0.2460000067949295
9,9,0,0.23000000417232513
10,6,0,0.24799999594688416
10,8,0,0.24699999392032623
10,10,0,0.2409999966621399
10,13,0,0.24899999797344208
10,48,0,0.24899999797344208
10,76,0,0.24799999594688416
10,90,0,0.24899999797344208
11,3,0,0.24799999594688416
11,5,0,0.2460000067949295
11,7,0,0.24699999392032623
11,11,0,0.24300000071525574
11,13,0,0.24799999594688416
11,15,0,0.24799999594688416
11,20,0,0.24899999797344208
