s,d,grn,exp
0,0,0,5.93846448255576e-33
1,0,1,1.5173960420941282e-38
1,1,0,0.0
1,2,1,0.0
1,3,1,1.5173960420941282e-38
1,4,1,7.343102355287651e-33
1,5,1,2.7931458991829647e-37
1,6,1,1.5173960420941282e-38
1,7,1,0.0
1,8,1,0.0
1,9,1,1.5173960420941282e-38
1,10,1,1.5173960420941282e-38
1,11,1,1.5173960420941282e-38
1,12,1,2.7931458991829647e-37
1,13,1,1.5173960420941282e-38
1,15,1,1.5173960420941282e-38
1,16,1,0.0
1,18,1,0.0
1,19,1,1.5173960420941282e-38
1,20,1,1.5173960420941282e-38
1,21,1,0.0
1,22,1,1.5173960420941282e-38
1,23,1,0.0
1,24,1,2.2065879665421364e-36
1,25,1,5.84069831929124e-38
1,26,1,0.0
1,27,1,1.5173960420941282e-38
1,28,1,0.0
1,29,1,4.954402824497537e-38
1,30,1,0.0
1,31,1,0.0
1,32,1,1.5173960420941282e-38
1,33,1,0.0
1,34,1,0.0
1,35,1,1.5173960420941282e-38
1,36,1,1.5173960420941282e-38
1,37,1,1.5173960420941282e-38
1,38,1,1.5173960420941282e-38
1,39,1,2.5817489275557286e-38
1,40,1,1.5173960420941282e-38
1,41,1,1.5173960420941282e-38
1,42,1,0.0
1,43,1,0.0
1,45,1,0.0
1,46,1,3.1591730174398843e-38
1,47,1,0.0
1,48,1,1.5173960420941282e-38
1,49,1,0.0
1,50,1,0.0
1,51,1,0.0
1,52,1,0.0
1,53,1,0.0
1,54,1,0.0
1,55,1,0.0
1,57,1,0.0
1,58,1,1.5173960420941282e-38
1,59,1,1.5173960420941282e-38
1,60,1,0.0
1,61,1,0.0
1,63,1,0.0
1,64,1,0.0
1,65,1,0.0
1,66,1,0.0
1,68,1,0.0
1,69,1,0.0
1,70,1,0.0
1,71,1,0.0
1,72,1,0.0
1,73,1,0.0
1,77,1,0.0
1,80,1,0.0
1,81,1,0.0
1,86,1,0.0
1,88,1,0.0
1,89,1,0.0
1,91,1,0.0
1,92,1,0.0
1,94,0,0.0
1,97,0,0.0
1,98,1,0.0
1,99,0,0.0
2,1,1,0.0
2,2,0,4.428125568041851e-37
2,4,0,6.345042264566265e-33
2,23,0,4.428125568041851e-37
2,28,0,4.428125568041851e-37
2,43,0,1.5835827316805037e-38
2,47,0,3.554784517031445e-39
2,49,0,4.428125568041851e-37
2,50,0,4.428125568041851e-37
2,53,0,0.0
2,55,0,0.0
2,60,0,0.0
2,61,0,0.0
2,68,0,0.0
2,71,0,0.0
2,72,0,0.0
2,75,0,0.0
2,85,0,0.0
2,88,0,0.0
2,89,0,9.753267124648876e-39
2,91,0,0.0
2,94,0,0.0
2,97,0,0.0
3,3,0,5.93846448255576e-33
4,2,0,2.131007864326043e-31
4,4,0,3.179269184451807e-36
4,21,0,2.1019843915867263e-30
4,23,0,2.131007864326043e-31
4,28,0,2.131007864326043e-31
4,46,0,5.777196360617083e-36
4,49,0,2.131007864326043e-31
4,50,0,2.131007864326043e-31
4,72,0,2.8957036149596866e-31
4,94,0,1.6106692949133682e-31
4,97,0,1.1734473449597656e-31
5,5,0,2.941929548270109e-33
5,12,0,2.941929548270109e-33
5,24,0,2.0940887734584316e-34
5,66,0,0.0
6,6,0,5.93846448255576e-33
7,7,0,1.171326304993661e-33
7,14,1,0.0
7,16,0,4.65881866615137e-36
7,30,0,6.9123485115715705e-34
7,53,0,0.0
7,55,0,0.0
8,8,0,9.393681284417476e-35
8,18,0,1.9922631824396337e-35
8,31,0,1.989043343848557e-35
8,42,0,3.595911046294711e-36
8,43,0,3.082403946058682e-37
8,81,0,1.8357930031278718e-35
8,85,0,0.0
10,10,0,5.93846448255576e-33
11,11,0,5.93846448255576e-33
12,5,0,2.941929548270109e-33
12,12,0,2.941929548270109e-33
12,24,0,2.0940887734584316e-34
12,66,0,0.0
14,0,1,0.0
14,2,1,0.0
14,3,1,0.0
14,4,1,7.429554528129258e-31
14,5,1,0.0
14,6,1,0.0
14,7,1,0.0
14,8,1,0.0
14,9,1,0.0
14,10,1,0.0
14,11,1,0.0
14,12,1,0.0
14,13,1,0.0
14,14,0,0.0
14,15,1,0.0
14,16,1,0.0
14,18,1,0.0
14,19,1,0.0
14,20,1,0.0
14,21,1,0.0
14,22,1,0.0
14,23,1,0.0
14,24,1,0.0
14,25,1,0.0
14,26,1,0.0
14,27,1,0.0
14,28,1,0.0
14,29,1,0.0
14,30,1,0.0
14,31,1,0.0
14,32,1,0.0
14,33,1,0.0
14,34,1,0.0
14,35,1,0.0
14,36,1,0.0
14,37,1,0.0
14,38,1,0.0
