s,d,grn,exp
0,0,0,0.0
0,1,1,0.0
0,5,0,0.0
0,11,0,0.0
0,16,0,0.0
0,21,0,0.0
0,24,0,0.0
0,28,0,0.0
0,29,0,0.0
0,34,0,0.0
0,37,0,0.0
0,38,0,0.0
0,39,0,0.0
0,40,0,0.0
0,41,0,0.0
0,51,0,0.0
0,52,0,0.0
0,60,0,0.0
0,66,0,0.0
0,70,0,0.0
0,71,0,0.0
0,73,0,0.0
0,75,0,0.0
0,80,0,0.0
0,81,0,0.0
0,82,0,0.0
0,88,0,0.0
0,99,0,0.0
1,0,1,0.0
1,1,0,0.0
1,2,1,0.0
1,3,1,7.015264450010759e-40
1,4,1,7.015264450010759e-40
1,5,1,0.0
1,6,1,0.0
1,7,1,5.6023912603706186e-42
1,8,1,0.0
1,9,1,7.015264450010759e-40
1,10,1,7.015264450010759e-40
1,11,1,0.0
1,12,1,0.0
1,13,1,7.015264450010759e-40
1,15,1,0.0
1,16,1,0.0
1,18,1,7.015264450010759e-40
1,19,1,0.0
1,20,1,7.015264450010759e-40
1,21,1,0.0
1,22,1,0.0
1,23,1,0.0
1,24,1,0.0
1,25,1,7.015264450010759e-40
1,26,1,0.0
1,27,1,0.0
1,28,1,0.0
1,29,1,0.0
1,30,1,7.015264450010759e-40
1,31,1,7.015264450010759e-40
1,32,1,3.2106270154917344e-40
1,33,1,7.015264450010759e-40
1,34,1,0.0
1,35,1,7.015264450010759e-40
1,36,1,7.015264450010759e-40
1,37,1,0.0
1,38,1,0.0
1,39,1,0.0
1,40,1,0.0
1,41,1,0.0
1,42,1,0.0
1,43,1,3.2106270154917344e-40
1,45,1,7.015264450010759e-40
1,46,1,7.015264450010759e-40
1,47,1,0.0
1,48,1,7.015264450010759e-40
1,49,1,0.0
1,50,1,7.015264450010759e-40
1,51,1,0.0
1,52,1,0.0
1,53,1,0.0
1,54,1,0.0
1,55,1,0.0
1,57,1,0.0
1,58,1,7.015264450010759e-40
1,59,1,0.0
1,60,1,0.0
1,61,1,0.0
1,63,1,0.0
1,64,1,0.0
1,65,1,0.0
1,66,1,0.0
1,68,1,0.0
1,69,1,2.6760736903057464e-40
1,70,1,0.0
1,71,1,0.0
1,72,1,0.0
1,73,1,0.0
1,77,1,0.0
1,80,1,0.0
1,81,1,0.0
1,86,1,0.0
1,88,1,0.0
1,89,1,0.0
1,91,1,5.400169878983904e-40
1,92,1,7.015264450010759e-40
1,98,1,0.0
2,2,0,2.3018106925584813e-39
2,89,0,0.0
5,0,0,0.0
5,1,1,0.0
5,5,0,0.0
5,11,0,0.0
5,16,0,0.0
5,21,0,0.0
5,24,0,0.0
5,28,0,0.0
5,29,0,0.0
5,34,0,0.0
5,37,0,0.0
5,38,0,0.0
5,39,0,0.0
5,40,0,0.0
5,41,0,0.0
5,47,0,0.0
5,51,0,0.0
5,52,0,0.0
5,60,0,0.0
5,66,0,0.0
5,70,0,0.0
5,71,0,0.0
5,73,0,0.0
5,75,0,0.0
5,80,0,0.0
5,81,0,0.0
5,82,0,0.0
5,88,0,0.0
5,99,0,0.0
6,1,1,0.0
6,6,0,0.0
6,21,0,0.0
6,65,0,0.0
6,72,0,0.0
6,83,0,0.0
7,7,0,0.0
7,55,0,0.0
7,69,0,0.0
7,83,0,0.0
8,8,0,3.564831827020654e-39
8,98,0,0.0
11,0,0,0.0
11,1,1,0.0
11,5,0,0.0
11,11,0,0.0
11,16,0,0.0
11,28,0,0.0
11,29,0,0.0
11,34,0,0.0
11,37,0,0.0
11,38,0,0.0
11,39,0,0.0
11,41,0,0.0
11,54,0,0.0
11,65,0,0.0
11,66,0,0.0
11,78,0,0.0
11,80,0,0.0
11,81,0,0.0
12,12,0,0.0
12,19,0,1.955441942042066e-40
12,23,0,0.0
12,47,0,0.0
